spu_code,buyer,DE,ES,FR,IT,GB,US,MX
S240812007332,陈家琪,1729485638993156401,1729485639091460401,1729485630248360241,1729485635864009009,1729425265166355761,1729603231890051377,1732231642520389937
S240813000084,郑川粤,1729480566402029911,1729480565608192343,1729480566399277399,1729480565491800407,1729426230576123223,1729619027601756503,1731193741279593815
S240813003834,张宇,1729495671744993299,1729495671744534547,1729495671743420435,1729495671615625235,1729425518698531859,1729607648339529747,1731760372659882003
S240813006479,王可心,1729480569399974549,1729480569464855189,1729480568275507861,1729480569198713493,1729426297003871893,1729619697376072341,1731759067804306069
S240813006640,范文,1729480030574188696,1729480030892365976,1729480031400794264,1729480031258253464,1729426329055562904,1729619809962659992,1731880930305345688
S240813006970,吴斐,1729507361529895761,1729507366222076753,1729507366306945873,1729507361531599697,1729426352844410705,1729620591675609937,1731766941297380177
S240813007997,徐熙雅,1729480138702166333,1729480138333395261,1729480138792474941,1729480137874970941,1729425523896126781,1729607723749052733,1732178024594639165
S240814001188,陈家琪,1729485725891991857,1729485726565046577,1729485726989654321,1729485727039985969,1729425200285781297,1729603194992759089,1731203111161988401
S240814003824,郑川粤,1729481121731222087,1729481120983718471,1729482000765196871,1729481121460755015,1729424496036187719,1729590745478959687,1732156701251634759
S240814007471,吴斐,1729481417990249082,1729481423599999610,1729481428327897722,1729481431586871930,1729424508617068154,1729590927355712122,1732240270050494074
S240815000404,刘雪莹,1729480703007561824,1729480700047038560,1729480702317140064,1729480702906701920,1729425737810480224,1729611176094634080,1731759008976767072
S240815000840,王谍,1729482721261033520,1729482722804144176,1729482717448149040,1729482637305354288,1729424944063548464,1729599050516893744,1731765393855186992
S240815001446,黄依婷,1729480667727502010,1729480668176423610,1729480667755354810,1729480669148519098,1729427699877252794,1729652174880740026,1731759027360467642
S240815002361,张天一,1729489639281629866,1729489637746186922,1729489635068975786,1729489637097249450,1729426574331252394,1729623263753310890,1731468246745253546
S240815005787,陈家琪,1729485630503098673,1729485621938854193,1729485616451983665,1729485626020501809,1729428425482538289,1729671103154458929,1732247754009119025
S240815006600,郑川粤,1729482759934679623,1729482756857436743,1729482755977615943,1729482759403248199,1729424807025610311,1729596889623597639,1732378176209913415
S240815006999,范文,1729503570627369440,1729492020362975712,1729503574552779232,1729503574653311456,1729425906401709536,1729614053350085088,1731885287168510432
S240815009279,李泳乐,1729482407030659642,1729482353842625082,1729482402804374074,1729482346896333370,1729425524287180346,1729607684776694330,1731761639821249082
S240816002737,李泳乐,1729482810066639116,1729482810062706956,1729482811307890956,1729482702853282060,1729426420482346252,1729621210353209612,1732172955077806348
S240816003529,徐熙雅,1729495484164511900,1729495485135820956,1729495483685312668,1729495484355614876,1729426032821374108,1729868940675158172,1736674846672979100
S240816005817,张天一,1729495243359754903,1729495243095251607,1729495248700152471,1729495243367553687,1729425658483936919,1729609718530871959,1732147802941131415
S240816005883,任思宁,1729494485489785560,1729494476600810200,1729494476617259736,1729494476665952984,1729426047363092184,1729616496414266072,1732132638205643480
S240817006285,陈家琪,1729486185691060529,1729486188203186481,1729486186148436273,1729486184535660849,1729425675775282481,1729609811619975473,1732249008195668273
